trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
1 	xx 	x 	x 	rdk 	1 	1 	1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
2 	xx 	x 	x 	rdk 	2 	0 	1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
3 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
4 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
5 	xx 	x 	x 	rdk 	2 	1 	1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
6 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
7 	xx 	x 	x 	rdk 	1 	0 	1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
8 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
9 	xx 	x 	x 	rdk 	2 	0 	1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
10 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
11 	xx 	x 	x 	rdk 	1 	0 	1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
12 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	11 	5 	1 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
1 	xx 	x 	x 	rdk 	1 	1 	1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
2 	xx 	x 	x 	rdk 	2 	1 	1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
3 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
4 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
5 	xx 	x 	x 	rdk 	1 	1 	1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
6 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
7 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
8 	xx 	x 	x 	rdk 	2 	0 	1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
9 	xx 	x 	x 	rdk 	1 	0 	1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
10 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
11 	xx 	x 	x 	rdk 	2 	1 	1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
12 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	11 	5 	3 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
1 	xx 	x 	x 	rdk 	1 	1 	1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
2 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
3 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
4 	xx 	x 	x 	rdk 	2 	0 	1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
5 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
6 	xx 	x 	x 	rdk 	1 	0 	1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
7 	xx 	x 	x 	rdk 	2 	0 	1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
8 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
9 	xx 	x 	x 	rdk 	2 	1 	1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
10 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
11 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
12 	xx 	x 	x 	rdk 	1 	0 	1 	3 	11 	5 	2 	0 	static 	10 	0 	0 	60 	65 	60 	65 	0.22
