trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
5 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
6 	xx 	x 	x 	rdk 	1 	1 	1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
8 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
10 	xx 	x 	x 	rdk 	1 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
11 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
13 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
14 	xx 	x 	x 	rdk 	2 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
15 	xx 	x 	x 	rdk 	2 	0 	1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
16 	xx 	x 	x 	rdk 	1 	1 	1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
17 	xx 	x 	x 	rdk 	1 	1 	1 	3 	32 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.64
18 	xx 	x 	x 	rdk 	2 	0 	1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
19 	xx 	x 	x 	rdk 	2 	1 	1 	3 	32 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.64
20 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	32 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.64
21 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
22 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	32 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.64
23 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
26 	xx 	x 	x 	rdk 	2 	1 	1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
27 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
28 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	32 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.64
31 	xx 	x 	x 	rdk 	1 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
32 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
34 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	32 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.64
36 	xx 	x 	x 	rdk 	2 	0 	1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
37 	xx 	x 	x 	rdk 	2 	1 	1 	3 	32 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.64
38 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
39 	xx 	x 	x 	rdk 	1 	1 	1 	3 	32 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.64
41 	xx 	x 	x 	rdk 	2 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
42 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
43 	xx 	x 	x 	rdk 	1 	1 	1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
44 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
45 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
47 	xx 	x 	x 	rdk 	1 	1 	1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
49 	xx 	x 	x 	rdk 	1 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
50 	xx 	x 	x 	rdk 	2 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
51 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
