trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
1 	MS 	x 	x 	rdk 	2 	0 	-1 	3 	4 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
2 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	16 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
3 	MS 	x 	x 	rdk 	1 	0 	1 	3 	16 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
4 	MS 	x 	x 	rdk 	2 	1 	1 	3 	24 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
5 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	24 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
6 	MS 	x 	x 	rdk 	1 	1 	1 	3 	24 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
7 	MS 	x 	x 	rdk 	2 	1 	1 	3 	20 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
8 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	20 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
9 	MS 	x 	x 	rdk 	1 	0 	1 	3 	4 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
10 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	12 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
11 	MS 	x 	x 	rdk 	2 	1 	1 	3 	4 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
12 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	8 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
13 	MS 	x 	x 	rdk 	2 	1 	1 	3 	8 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
14 	MS 	x 	x 	rdk 	1 	0 	1 	3 	12 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
15 	MS 	x 	x 	rdk 	2 	1 	1 	3 	12 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
16 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
17 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	16 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
18 	MS 	x 	x 	rdk 	2 	1 	1 	3 	16 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
19 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	4 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
20 	MS 	x 	x 	rdk 	1 	1 	1 	3 	20 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
21 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	24 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
22 	MS 	x 	x 	rdk 	1 	1 	1 	3 	8 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
23 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	12 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
24 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	8 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
1 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	16 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
2 	MS 	x 	x 	rdk 	1 	1 	1 	3 	16 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
3 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	12 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
4 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	8 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
5 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	4 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
6 	MS 	x 	x 	rdk 	2 	1 	1 	3 	16 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
7 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	24 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
8 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	8 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
9 	MS 	x 	x 	rdk 	2 	0 	-1 	3 	16 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
10 	MS 	x 	x 	rdk 	2 	0 	1 	3 	12 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
11 	MS 	x 	x 	rdk 	1 	1 	1 	3 	24 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
12 	MS 	x 	x 	rdk 	1 	1 	1 	3 	20 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
13 	MS 	x 	x 	rdk 	2 	1 	1 	3 	8 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
14 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	24 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
15 	MS 	x 	x 	rdk 	1 	1 	1 	3 	8 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
16 	MS 	x 	x 	rdk 	2 	1 	1 	3 	20 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
17 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	20 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
18 	MS 	x 	x 	rdk 	1 	0 	1 	3 	4 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
19 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
20 	MS 	x 	x 	rdk 	1 	1 	1 	3 	12 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
21 	MS 	x 	x 	rdk 	2 	1 	1 	3 	4 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
22 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	4 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
23 	MS 	x 	x 	rdk 	2 	0 	-1 	3 	12 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
24 	MS 	x 	x 	rdk 	2 	1 	1 	3 	24 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
1 	MS 	x 	x 	rdk 	2 	0 	-1 	3 	12 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
2 	MS 	x 	x 	rdk 	2 	0 	1 	3 	4 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
3 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	12 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
4 	MS 	x 	x 	rdk 	2 	0 	-1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
5 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
6 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
7 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
8 	MS 	x 	x 	rdk 	1 	0 	1 	3 	12 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
9 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
10 	MS 	x 	x 	rdk 	2 	1 	1 	3 	12 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
11 	MS 	x 	x 	rdk 	1 	0 	1 	3 	20 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
12 	MS 	x 	x 	rdk 	2 	1 	1 	3 	20 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
13 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	20 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
14 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
15 	MS 	x 	x 	rdk 	1 	1 	1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
16 	MS 	x 	x 	rdk 	1 	0 	1 	3 	4 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
17 	MS 	x 	x 	rdk 	2 	0 	1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
18 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	4 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
19 	MS 	x 	x 	rdk 	1 	1 	1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
20 	MS 	x 	x 	rdk 	2 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
21 	MS 	x 	x 	rdk 	1 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
22 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	4 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
23 	MS 	x 	x 	rdk 	1 	1 	-1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
24 	MS 	x 	x 	rdk 	2 	0 	1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
1 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	10 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.2
2 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	7 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.14
3 	MS 	x 	x 	rdk 	1 	0 	-1 	3 	15 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.3
4 	MS 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.4
5 	MS 	x 	x 	rdk 	1 	0 	1 	3 	15 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.3
